city,businessName,phone,address,postcode,website,rating,reviewCount,source
Manchester,Ally M Photography - Manchester Wedding Photographer,+44 7824 862520,"2 Ltd, Cubo Manchester, 1 Spinningfields Quay St, Manchestere M3 3JE, United Kingdom",,https://allym.photography/,5,79,apify
Manchester,BeardedCamera | Manchester Wedding Photographer | Manchester Wedding Photography,+44 7541 089528,"Apt 1120, 12 Leftbank, Manchester M3 3AH, United Kingdom",,https://www.beardedcamera.com/,5,50,apify
Manchester,Danarus Photostudio,+44 7428 664274,"468 Burnage Ln, Manchester M19 1LH, United Kingdom",,https://www.danarusphotostudio.co.uk/contact,4.6,293,apify
Manchester,Joe Hague Photography,+44 7561 306410,"42 Merton Rd, Prestwich, Manchester M25 1PL, United Kingdom",,http://www.joehaguephotography.com/,5,41,apify
Manchester,Rebecca Conway Photography,+44 161 960 0225,"Rebecca Conway Photography, Turner Business Centre, Greengate, Middleton, Manchester M24 1RU, United Kingdom",,https://www.rebeccaconway.co.uk/,4.9,38,apify
Manchester,Olpa Photography,+44 7415 470956,"Grosvenor St, Manchester M13 9UY, United Kingdom",,https://olpa-photography.co.uk/,5,49,apify
Manchester,GNPHOTO,+44 7940 404024,"70 Mayford Rd, Levenshulme, Manchester M19 3DP, United Kingdom",,https://www.gnphoto.co.uk/,5,44,apify
Manchester,Rob Clayton Photography,+44 7814 526220,,,http://www.robclaytonphotography.co.uk/,5,96,apify
Manchester,James Melia Studio,,"James Melia Studio, Graphite House, Paddock St, Manchester M12 6HT, United Kingdom",,https://jamesmelia.co/,5,938,apify
Manchester,Eddie Studios Limited,+44 7412 705560,"Eddie Studios Limited, Miles Platting, Manchester M40 8BB, United Kingdom",,,5,67,apify
